Departure station,Arrival station,Departure time,Arrival time
Chernihiv,Ivano-Frankivsk,10:46,10:26
Chernivtsi,Lviv,,11:52
Chernivtsi,Lviv,,12:20
Chernivtsi,Lviv,12:10,12:09
Chernivtsi,Odesa,20:37,20:17
Chernivtsi,Poltava,20:10,19:50
Chernivtsi,Kyiv,02:47,02:10
Chop-Pas.,Kyiv,21:05,20:35
Chop-Pas.,Kyiv,21:20,21:18
Chop-Pas.,Kyiv,21:19,21:17
Chop-Pas.,Kyiv,21:05,20:35
Dnipro,Lviv,,07:04
Dnipro,Lviv,06:52,06:50
Dnipro,Truskavets,08:08,08:06
Dnipro,Truskavets,08:43,08:20
Iasinia,Kharkiv,19:20,18:45
Iasinia,Kharkiv,19:20,18:45
Iasinia,Zaporizhzhia,19:10,18:45
Ivano-Frankivsk,Sumy,17:40,17:12
Ivano-Frankivsk,Chernihiv,17:40,17:12
Ivano-Frankivsk,Kyiv,00:41,00:21
Ivano-Frankivsk,Kyiv,00:41,00:21
Ivano-Frankivsk,Kharkiv,23:22,22:54
Ivano-Frankivsk,Kharkiv,23:22,22:54
Ivano-Frankivsk,Kharkiv,23:22,22:54
Kamianets-Podilsky,Uzhhorod,04:47,04:21
Kharkiv,Truskavets,12:23,11:51
Kharkiv,Truskavets,12:23,11:51
Kharkiv,Uzhhorod,08:53,08:27
Kharkiv,Iasinia,05:18,04:31
Kharkiv,Iasinia,05:18,04:31
Kharkiv,Lviv,06:52,06:50
Kharkiv,Lviv,,07:04
Kharkiv,Uzhhorod,04:57,04:31
Kharkiv,Uzhhorod,04:57,04:31
Kharkiv,Ivano-Frankivsk,10:46,10:26
Kharkiv,Ivano-Frankivsk,10:46,10:26
Kharkiv,Ivano-Frankivsk,10:45,10:23
Kherson,Lviv,10:06,10:05
Kherson,Lviv,,10:18
Kolomyia,Lviv,,10:40
Kovel,Uzhhorod,21:47,21:45
Kovel,Uzhhorod,22:19,21:59
Kremenchuk,Vorokhta,06:45,06:25
Kremenchuk,Vorokhta,06:45,06:25
Kyiv,Lviv,,11:58
Kyiv,Lviv,,11:58
Kyiv,Truskavets,06:30,06:05
Kyiv,Uzhhorod,04:02,03:30
Kyiv,Uzhhorod,04:47,04:21
Kyiv,Uzhhorod,20:25,19:59
Kyiv,Uzhhorod,20:25,19:59
Kyiv,Viden,20:25,19:59
Kyiv,Viden,20:25,19:59
Kyiv,Chop-Pas.,06:16,05:50
Kyiv,Chop-Pas.,05:38,05:36
Kyiv,Pshemysl,08:55,08:35
Kyiv,Lviv,,08:27
Kyiv,Lviv,,06:35
Kyiv,Lviv,06:24,06:22
Kyiv,Lviv,06:24,06:22
Kyiv,Lviv,,06:35
Kyiv,Pshemysl,03:38,02:38
Kyiv,Pshemysl,03:38,02:38
Kyiv,Rakhiv,00:22,23:50
Kyiv,Rakhiv,03:45,03:21
Kyiv,Rakhiv,23:38,23:36
Kyiv,Rakhiv,00:22,23:55
Kyiv,Rakhiv,23:44,23:42
Kyiv,Chernivtsi,03:31,03:11
Kyiv,Pshemysl,19:35,19:00
Kyiv,Solotvyno,02:38,02:04
