Departure station,Arrival station,Departure time,Arrival time
Chernivtsi,Odesa,,08:48
Dnipro,Odesa,,08:07
Kharkiv,Odesa,,08:31
Kharkiv,Odesa,,10:57
Kharkiv,Odesa,,10:57
Kharkiv,Odesa,,10:57
Kharkiv,Odesa,,10:57
Kovel,Odesa,,09:49
Kramatorsk,Odesa,,10:57
Kramatorsk,Odesa,,10:57
Kramatorsk,Odesa,,10:57
Kramatorsk,Odesa,,10:57
Kyiv,Odesa,,06:15
Lviv,Odesa,,09:18
Lviv,Odesa,,09:18
Odesa,Rakhiv,13:56,
Odesa,Dnipro,20:05,
Odesa,Kharkiv,19:47,
Odesa,Kyiv,21:32,
Odesa,Kharkiv,16:51,
Odesa,Pshemysl,14:58,
Odesa,Kramatorsk,16:51,
Odesa,Kramatorsk,16:51,
Odesa,Kramatorsk,16:51,
Odesa,Uzhhorod,14:58,
Odesa,Lviv,21:03,
Odesa,Lviv,21:03,
Odesa,Kovel,18:40,
Odesa,Chernivtsi,13:56,
Odesa,Kharkiv,16:51,
Odesa,Kharkiv,16:51,
Pshemysl,Odesa,,13:58
Rakhiv,Odesa,,08:48
Uzhhorod,Odesa,,13:58
